Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,zdFF
Region1G,470,FD,16.200000000000514,B1715,5,35345,0.04034197,0.037638305,0.6779137645609062
Region1G,470,FD,16.300000000000516,B1715,5,35346,0.040127801,0.037643557,0.7474363124259973
Region1G,470,FD,16.400000000000517,B1715,5,35347,0.040206583,0.037415966,0.9534417083863298
Region1G,470,FD,16.50000000000052,B1715,5,35348,0.039892624,0.037460901,1.2406132468958917
Region1G,470,FD,16.60000000000052,B1715,5,35349,0.041130952,0.038255719,1.5331045953459732
Region1G,470,FD,16.70000000000052,B1715,5,35350,0.043183357,0.038097572,1.7725305191917349
Region1G,470,FD,16.800000000000523,B1715,5,35351,0.04824288,0.038176354,1.9622963376352034
Region1G,470,FD,16.900000000000524,B1715,5,35352,0.05121732,0.039164916,2.12663470480753
Region1G,470,FD,17.000000000000526,B1715,5,35353,0.051003735,0.038884804,2.25326874458013
Region1G,470,FD,17.100000000000527,B1715,5,35354,0.048873716,0.038438959,2.3637198419680465
Region1G,470,FD,17.20000000000053,B1715,5,35355,0.046974206,0.037919585,2.432221954063585
Region1G,470,FD,17.30000000000053,B1715,5,35356,0.045726541,0.037630135,2.4284036497638963
Region1G,470,FD,17.40000000000053,B1715,5,35357,0.044457283,0.037294001,2.261227944527469
Region1G,470,FD,17.500000000000533,B1715,5,35358,0.043517157,0.037207633,2.008024303928024
Region1G,470,FD,17.600000000000534,B1715,5,35359,0.042696662,0.036885504,1.757850994404686
Region1G,470,FD,17.700000000000536,B1715,5,35360,0.042433473,0.036999883,1.5750090126599596
Region1G,470,FD,17.800000000000537,B1715,5,35361,0.041862162,0.036980626,1.4362759766443103
Region1G,470,FD,17.90000000000054,B1715,5,35362,0.04132528,0.036944444,1.3208113708196796
Region1G,470,FD,18.00000000000054,B1715,5,35363,0.041367297,0.036935107,1.2594357633190596
Region1G,470,FD,18.10000000000054,B1715,5,35364,0.041961368,0.037247899,1.2254246359771728
Region1G,470,FD,18.200000000000543,B1715,5,35365,0.0419176,0.037352358,1.1944945640924338
Region1G,470,FD,18.300000000000544,B1715,5,35366,0.041768791,0.037605626,1.1646536544630954
Region1G,470,FD,18.400000000000546,B1715,5,35367,0.042401377,0.037368697,1.1450609229570397
Region1G,470,FD,18.500000000000547,B1715,5,35368,0.042379202,0.037253735,1.1263639604102265
Region1G,470,FD,18.60000000000055,B1715,5,35369,0.041785714,0.037148693,1.1046657751795896
Region1G,470,FD,18.70000000000055,B1715,5,35370,0.041336368,0.036865079,1.0591422019066208
Region1G,470,FD,18.80000000000055,B1715,5,35371,0.040762138,0.03621732,1.0121855103978843
Region1G,470,FD,18.900000000000553,B1715,5,35372,0.040295285,0.036251167,0.971603251191927
Region1G,470,FD,19.000000000000554,B1715,5,35373,0.040065359,0.035939542,0.9067733194722573
Region1G,470,FD,19.100000000000556,B1715,5,35374,0.039834267,0.036230742,0.853748506163094
Region1G,470,FD,19.200000000000557,B1715,5,35375,0.040149977,0.037062908,0.8250143228909462
