Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,dFF,zdFF
Region0R,560,FD,14.200000000000486,B1757,5,5282,0.0310891774127068,0.0168580345050933,0.00575635674405475,0.1306161135304991
Region0R,560,FD,14.300000000000487,B1757,5,5283,0.0312430077135959,0.0166622504857799,0.007847055860430198,0.7520673508173896
Region0R,560,FD,14.400000000000489,B1757,5,5284,0.0312231348996055,0.0168801154095272,0.007715602427169053,0.7129933883777949
Region0R,560,FD,14.50000000000049,B1757,5,5285,0.0312695047989166,0.0166902196313961,0.00790628657880817,0.7696734247536509
Region0R,560,FD,14.600000000000492,B1757,5,5286,0.0312010539951716,0.0168558264146499,0.00782252402311779,0.7447753686611304
Region0R,560,FD,14.700000000000493,B1757,5,5287,0.0315433080138962,0.0166865394806571,0.007453241741915591,0.6350078135099663
Region0R,560,FD,14.800000000000495,B1757,5,5288,0.0313600365070953,0.0168337455102161,0.007855703214988111,0.7546377394243309
Region0R,560,FD,14.900000000000496,B1757,5,5289,0.0316058705764588,0.016729965259377,0.006292424241354228,0.2899598502053378
Region0R,560,FD,15.000000000000497,B1757,5,5290,0.031457928516752,0.0169507743037155,0.00731035602157239,0.5925356533591297
Region0R,560,FD,15.100000000000499,B1757,5,5291,0.0318862980627687,0.0168756992286404,0.006130116496258216,0.24171457750152117
Region0R,560,FD,15.2000000000005,B1757,5,5292,0.0315940940940941,0.0169721191780015,0.007320062357576764,0.5954208196043318
Region0R,560,FD,15.300000000000502,B1757,5,5293,0.0315131307778367,0.0168889477713007,0.006345386658882346,0.3057026989226677
Region0R,560,FD,15.400000000000503,B1757,5,5294,0.0313357475122181,0.0168204969675558,0.0072337841353367115,0.5697749925496246
Region0R,560,FD,15.500000000000504,B1757,5,5295,0.0316964022846376,0.0169279573691338,0.006019068413622636,0.20870601696227958
Region0R,560,FD,15.600000000000506,B1757,5,5296,0.0311642524877819,0.0167358535005594,0.007527473936671669,0.657073011183012
Region0R,560,FD,15.700000000000507,B1757,5,5297,0.0315315315315315,0.0167748630983925,0.007291496094913576,0.5869296220247024
Region0R,560,FD,15.800000000000509,B1757,5,5298,0.0312761290702467,0.0167277571689336,0.008682937000676069,1.0005293914629785
Region0R,560,FD,15.90000000000051,B1757,5,5299,0.031070776659012,0.0166850674203615,0.009744390493595108,1.3160418348032807
Region0R,560,FD,16.00000000000051,B1757,5,5300,0.0310994818347759,0.0167056762644998,0.010575859617773702,1.5631924228240213
Region0R,560,FD,16.100000000000513,B1757,5,5301,0.0310575281163516,0.0166526820938586,0.009817741922501184,1.3378452286505362
Region0R,560,FD,16.200000000000514,B1757,5,5302,0.0310531119354649,0.0166835953600659,0.009304797516308753,1.1853747304373292
Region0R,560,FD,16.300000000000516,B1757,5,5303,0.0310052699758582,0.0166409056114938,0.00841110602771138,0.9197288146804757
Region0R,560,FD,16.400000000000517,B1757,5,5304,0.0309441794735912,0.0166283930989813,0.008169666861099142,0.8479620704151349
Region0R,560,FD,16.50000000000052,B1757,5,5305,0.0310163104280751,0.0167976800329742,0.0057824901080796645,0.13838414255033601
Region0R,560,FD,16.60000000000052,B1757,5,5306,0.0311252428899488,0.0167733910380969,0.005223126519643868,-0.02788425609389809
Region0R,560,FD,16.70000000000052,B1757,5,5307,0.03112818701054,0.0167395336512984,0.004297866544139599,-0.30291376755512867
Region0R,560,FD,16.800000000000523,B1757,5,5308,0.031120826709062,0.0167056762644998,0.0024023007573560793,-0.8663624696321476
Region0R,560,FD,16.900000000000524,B1757,5,5309,0.0309957015839369,0.0168860036507095,2.4071030294329186e-05,-1.573280932867188
Region0R,560,FD,17.000000000000526,B1757,5,5310,0.0312135665076842,0.0167932638520874,-0.00028753292695481766,-1.665903856586451
Region0R,560,FD,17.100000000000527,B1757,5,5311,0.0312974739445328,0.0168116646057823,-0.0011022651206784445,-1.9080794646791106
Region0R,560,FD,17.20000000000053,B1757,5,5312,0.0307645881175293,0.0167755991285403,-0.0005882238244751781,-1.7552829206714315
Region0R,560,FD,17.30000000000053,B1757,5,5313,0.0315146028381323,0.0170148089265736,-0.0003308284804646128,-1.678773271935097
Region0R,560,FD,17.40000000000053,B1757,5,5314,0.0313063063063063,0.0167667667667668,-0.0001555651353103817,-1.6266770033500881
Region0R,560,FD,17.500000000000533,B1757,5,5315,0.0314542483660131,0.0170052405346523,0.001996458340935206,-0.9869973662812171
Region0R,560,FD,17.600000000000534,B1757,5,5316,0.0314630807277866,0.0168278572690337,0.002153376182043149,-0.9403542191420059
Region0R,560,FD,17.700000000000536,B1757,5,5317,0.0315072425366543,0.0168300653594771,0.0030406110126754947,-0.6766275169389709
Region0R,560,FD,17.800000000000537,B1757,5,5318,0.0313850615321204,0.0167697108873579,0.004295784920280246,-0.30353252121165847
Region0R,560,FD,17.90000000000054,B1757,5,5319,0.0314932579638462,0.0168359536006595,0.004950370629142158,-0.10895976059950947
Region0R,560,FD,18.00000000000054,B1757,5,5320,0.0311723488194076,0.0167682388270624,0.00411458587317628,-0.3573931514362437
Region0R,560,FD,18.10000000000054,B1757,5,5321,0.0315536124359654,0.0168072484248955,0.00584010270453338,0.1555092367683614
Region0R,560,FD,18.200000000000543,B1757,5,5322,0.0314203909792145,0.0168558264146499,0.00543003864068967,0.033619473747673725
Region0R,560,FD,18.300000000000544,B1757,5,5323,0.0315469881646352,0.0169654949066714,0.0041479894597710116,-0.3474640803152379
Region0R,560,FD,18.400000000000546,B1757,5,5324,0.0315469881646352,0.0169176529470647,0.0031318024365802584,-0.6495212620160642
Region0R,560,FD,18.500000000000547,B1757,5,5325,0.0315882058529117,0.0168867396808573,0.002588681603501195,-0.8109615721351117
Region0R,560,FD,18.60000000000055,B1757,5,5326,0.0315543484661132,0.0168948360124831,0.0011819399323453883,-1.229109427670825
Region0R,560,FD,18.70000000000055,B1757,5,5327,0.0315020903256197,0.0169493022434199,0.0008211166006854989,-1.33636259678813
Region0R,560,FD,18.80000000000055,B1757,5,5328,0.0315595006771477,0.0169176529470647,-0.0001647268413577773,-1.6294002807046428
Region0R,560,FD,18.900000000000553,B1757,5,5329,0.0315256432903492,0.0168977801330742,0.0008745652972053592,-1.3204752037512864
Region0R,560,FD,19.000000000000554,B1757,5,5330,0.0310935935935936,0.016877171288936,0.0003928718657155092,-1.4636564853846297
Region0R,560,FD,19.100000000000556,B1757,5,5331,0.0312739209798033,0.0167594064652888,0.0002627027371197668,-1.502348693837189
Region0R,560,FD,19.200000000000557,B1757,5,5332,0.0310074780663016,0.0168263852087382,-0.0018195511940618295,-2.121289636483053
Region0R,560,FD,19.30000000000056,B1757,5,5333,0.0309714125890596,0.0166997880233174,-0.0009968440980604196,-1.8767435233048206
Region0R,560,FD,19.40000000000056,B1757,5,5334,0.0315168109285756,0.0169551904846023,-0.003587073153639345,-2.6466778667203594
Region0R,560,FD,19.50000000000056,B1757,5,5335,0.0312120944473886,0.0167888476712006,-0.0030974431276925493,-2.501137466834905
Region0R,560,FD,19.600000000000563,B1757,5,5336,0.0309154742978272,0.0168999882235176,-0.0014696266915913136,-2.0172760970339603
Region0R,560,FD,19.700000000000564,B1757,5,5337,0.0312253429900489,0.0167925278219396,-0.0015733935300137388,-2.0481203393363923
